Order	Super kindom	Strain name	Release date	SEQ count	CAS count	CRISPR count	Assembly description	Number of spacers	Number of self-targeting spacers
1	Bacteria	Acetobacteraceae bacterium (a-proteobacteria) 868	2019-04	2	2	1	|GCA_004843345.1||Acetobacteraceae bacterium (a-proteobacteria) 868|CP039461.1|p1 Plasmid|CP039460.1|ANONYMOUS Chromosome	41	0
2	Bacteria	Acetobacteraceae bacterium (a-proteobacteria) 880	2019-04	1	2	3	|GCA_004843165.1||Acetobacteraceae bacterium (a-proteobacteria) 880|CP039459.1|ANONYMOUS Chromosome	24	2
3	Bacteria	Acetobacter ascendens LMG 1591	2016-10	4	1	1	|GCA_001766255.1|GCF_001766255.1|Acetobacter ascendens LMG 1591|CP015171.1|unnamed3 Plasmid|CP015170.1|unnamed2 Plasmid|CP015169.1|unnamed1 Plasmid|CP015168.1|ANONYMOUS Chromosome	15	0
4	Bacteria	Acetobacterium sp. KB-1 (firmicutes)	2018-06	1	1	4	|GCA_003260995.1|GCF_003260995.1|Acetobacterium sp. KB-1 (firmicutes)|CP030040.1|ANONYMOUS Chromosome	36	0
5	Bacteria	Acetobacterium woodii DSM 1030 (firmicutes)	2012-02	1	1	3	|GCA_000247605.1|GCF_000247605.1|Acetobacterium woodii DSM 1030 (firmicutes)|CP002987.1|ANONYMOUS Chromosome	46	0
6	Bacteria	Acetobacter orientalis (a-proteobacteria) FAN1	2018-02	2	0	2	|GCA_003966365.1||Acetobacter orientalis (a-proteobacteria) FAN1|AP018516.1|pAOF1 Plasmid|AP018515.1|ANONYMOUS Chromosome	8	0
7	Bacteria	Acetobacter pasteurianus (a-proteobacteria) dm	2017-07	1	1	2	|GCA_002220195.1|GCF_002220195.1|Acetobacter pasteurianus (a-proteobacteria) dm|CP022374.1|ANONYMOUS Chromosome	13	6
8	Bacteria	Acetobacter pasteurianus IFO 3283-01-42C (a-proteobacteria)	2009-08	7	1	1	|GCA_000010945.1|GCF_000010945.1|Acetobacter pasteurianus IFO 3283-01-42C (a-proteobacteria)|AP011165.1|pAPA42C_020 Plasmid|AP011164.1|pAPA42C_011 Plasmid|AP011163.1|ANONYMOUS Chromosome|AP011166.1|pAPA42C_030 Plasmid|AP011168.1|pAPA42C_050 Plasmid|AP011167.1|pAPA42C_040 Plasmid|AP011169.1|pAPA42C_060 Plasmid	23	1
9	Bacteria	Acetobacter pasteurianus IFO 3283-01 (a-proteobacteria)	2009-08	7	1	1	|GCA_000010825.1|GCF_000010825.1|Acetobacter pasteurianus IFO 3283-01 (a-proteobacteria)|AP011121.1|ANONYMOUS Chromosome|AP011125.1|pAPA01-040 Plasmid|AP011123.1|pAPA01-020 Plasmid|AP011127.1|pAPA01-060 Plasmid|AP011122.1|pAPA01-011 Plasmid|AP011126.1|pAPA01-050 Plasmid|AP011124.1|pAPA01-030 Plasmid	23	1
10	Bacteria	Acetobacter pasteurianus IFO 3283-03 (a-proteobacteria)	2009-08	7	1	1	|GCA_000010845.1|GCF_000010845.1|Acetobacter pasteurianus IFO 3283-03 (a-proteobacteria)|AP011134.1|pAPA03-060 Plasmid|AP011133.1|pAPA03-050 Plasmid|AP011132.1|pAPA03-040 Plasmid|AP011131.1|pAPA03-030 Plasmid|AP011130.1|pAPA03-020 Plasmid|AP011129.1|pAPA03-010 Plasmid|AP011128.1|ANONYMOUS Chromosome	23	1
11	Bacteria	Acetobacter pasteurianus IFO 3283-07 (a-proteobacteria)	2009-08	7	1	1	|GCA_000010865.1|GCF_000010865.1|Acetobacter pasteurianus IFO 3283-07 (a-proteobacteria)|AP011141.1|pAPA07-060 Plasmid|AP011140.1|pAPA07-050 Plasmid|AP011138.1|pAPA07-030 Plasmid|AP011137.1|pAPA07-020 Plasmid|AP011136.1|pAPA07-010 Plasmid|AP011135.1|ANONYMOUS Chromosome|AP011139.1|pAPA07-040 Plasmid	23	1
12	Bacteria	Acetobacter pasteurianus IFO 3283-12 (a-proteobacteria)	2009-08	7	1	1	|GCA_000010965.1|GCF_000010965.1|Acetobacter pasteurianus IFO 3283-12 (a-proteobacteria)|AP011176.1|pAPA12-060 Plasmid|AP011175.1|pAPA12-050 Plasmid|AP011174.1|pAPA12-040 Plasmid|AP011173.1|pAPA12-030 Plasmid|AP011172.1|pAPA12-020 Plasmid|AP011171.1|pAPA12-014 Plasmid|AP011170.1|ANONYMOUS Chromosome	23	1
13	Bacteria	Acetobacter pasteurianus IFO 3283-22 (a-proteobacteria)	2009-08	7	1	1	|GCA_000010885.1|GCF_000010885.1|Acetobacter pasteurianus IFO 3283-22 (a-proteobacteria)|AP011148.1|pAPA22-060 Plasmid|AP011147.1|pAPA22-050 Plasmid|AP011146.1|pAPA22-040 Plasmid|AP011145.1|pAPA22-030 Plasmid|AP011144.1|pAPA22-020 Plasmid|AP011143.1|pAPA22-010 Plasmid|AP011142.1|ANONYMOUS Chromosome	23	1
14	Bacteria	Acetobacter pasteurianus IFO 3283-26 (a-proteobacteria)	2009-08	7	1	1	|GCA_000010905.1|GCF_000010905.1|Acetobacter pasteurianus IFO 3283-26 (a-proteobacteria)|AP011155.1|pAPA26-060 Plasmid|AP011154.1|pAPA26-050 Plasmid|AP011153.1|pAPA26-040 Plasmid|AP011152.1|pAPA26-030 Plasmid|AP011151.1|pAPA26-020 Plasmid|AP011150.1|pAPA26-013 Plasmid|AP011149.1|ANONYMOUS Chromosome	23	1
15	Bacteria	Acetobacter pasteurianus IFO 3283-32 (a-proteobacteria)	2009-08	7	1	1	|GCA_000010925.1|GCF_000010925.1|Acetobacter pasteurianus IFO 3283-32 (a-proteobacteria)|AP011162.1|pAPA32-060 Plasmid|AP011161.1|pAPA32-050 Plasmid|AP011159.1|pAPA32-030 Plasmid|AP011160.1|pAPA32-040 Plasmid|AP011158.1|pAPA32-020 Plasmid|AP011157.1|pAPA32-012 Plasmid|AP011156.1|ANONYMOUS Chromosome	23	1
16	Bacteria	Acetobacter pasteurianus subsp. pasteurianus (a-proteobacteria) SRCM101468	2017-06	4	1	1	|GCA_002202135.1|GCF_002202135.1|Acetobacter pasteurianus subsp. pasteurianus (a-proteobacteria) SRCM101468|CP021925.1|pAP1468-3 Plasmid|CP021924.1|pAP1468-2 Plasmid|CP021923.1|pAP1468-1 Plasmid|CP021922.1|ANONYMOUS Chromosome	22	2
17	Bacteria	Acetobacter persici (a-proteobacteria) TMW2.1084	2017-02	2	2	9	|GCA_002006565.1|GCF_002006565.1|Acetobacter persici (a-proteobacteria) TMW2.1084|CP014688.1|pAC1084_1 Plasmid|CP014687.1|ANONYMOUS Chromosome	38	0
18	Bacteria	Acetobacter pomorum (a-proteobacteria) BDGP5	2017-10	4	1	1	|GCA_002456135.1|GCF_002456135.1|Acetobacter pomorum (a-proteobacteria) BDGP5|CP023660.1|pApBDGP5C Plasmid|CP023659.1|pApBDGP5B Plasmid|CP023658.1|pApBDGP5A Plasmid|CP023657.1|ANONYMOUS Chromosome	30	0
19	Bacteria	Acetobacter pomorum (a-proteobacteria) SH	2018-08	3	1	2	|GCA_003391275.1||Acetobacter pomorum (a-proteobacteria) SH|CP023190.1|pSH1 Plasmid|CP023189.1|ANONYMOUS Chromosome|CP023191.1|pSH2 Plasmid	17	1
20	Bacteria	Acetobacter sp. JWB (a-proteobacteria)	2018-07	3	1	1	|GCA_003323795.1||Acetobacter sp. JWB (a-proteobacteria)|CP030871.1|ANONYMOUS Chromosome|CP030872.1|unnamed1 Plasmid|CP030873.1|unnamed2 Plasmid	13	0
21	Bacteria	Acetobacter sp. SLV-7 (a-proteobacteria)	2016-04	4	1	2	|GCA_001628715.1|GCF_001628715.1|Acetobacter sp. SLV-7 (a-proteobacteria)|CP011120.1|ANONYMOUS Chromosome|CP011123.1|unnamed3 Plasmid|CP011122.1|unnamed2 Plasmid|CP011121.1|unnamed1 Plasmid	10	0
22	Bacteria	Acetobacter tropicalis (a-proteobacteria) BDGP1	2017-10	2	0	2	|GCA_002549835.1|GCF_002549835.1|Acetobacter tropicalis (a-proteobacteria) BDGP1|CP022700.1|pAtBDGP1A Plasmid|CP022699.1|ANONYMOUS Chromosome	2	0
23	Bacteria	Acetohalobium arabaticum DSM 5501 (firmicutes)	2010-08	1	1	1	|GCA_000144695.1|GCF_000144695.1|Acetohalobium arabaticum DSM 5501 (firmicutes)|CP002105.1|ANONYMOUS Chromosome	7	0
